Age,PlayTimeHours,InGamePurchases,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,Churn,Gender_Male,Location_Europe,Location_Other,Location_USA,GameGenre_RPG,GameGenre_Simulation,GameGenre_Sports,GameGenre_Strategy,GameDifficulty_Hard,GameDifficulty_Medium
43,16.271118760553215,0,6,108,79,25,0,True,False,True,False,False,False,False,True,False,True
29,5.525961380570566,0,5,144,11,10,0,False,False,False,True,False,False,False,True,False,True
22,8.223755243499511,0,16,142,35,41,0,False,False,False,True,False,False,True,False,False,False
35,5.265351277318268,1,9,85,57,47,0,True,False,False,True,False,False,False,False,False,False
33,15.53194452113429,0,2,131,95,37,0,True,True,False,False,False,False,False,False,False,True
37,20.561855414112554,0,2,81,74,22,1,True,True,False,False,True,False,False,False,False,False
25,9.752716365932256,0,1,50,13,2,1,True,False,False,True,False,False,False,False,True,False
25,4.401729344841462,0,10,48,27,23,0,False,False,False,False,True,False,False,False,False,True
38,18.15273259575482,0,5,101,23,41,0,False,True,False,False,False,True,False,False,False,False
38,23.942771725289525,0,13,95,99,36,0,False,False,True,False,False,False,True,False,False,False
17,4.829915833543258,0,8,95,14,12,0,True,False,False,True,False,False,False,True,True,False
36,5.53598092541321,1,16,124,62,31,0,False,False,False,False,False,True,False,False,False,False
16,18.776233805679176,1,9,18,52,32,0,True,False,False,True,False,False,True,False,False,False
38,8.701959180591404,0,0,156,33,47,1,False,False,False,True,False,False,False,True,False,False
44,17.975200475946355,0,8,41,98,1,1,True,False,False,True,False,True,False,False,False,False
16,7.951511339057053,0,10,156,58,24,0,True,True,False,False,True,False,False,False,False,True
35,17.88789845694821,0,16,154,62,4,0,True,False,False,False,False,False,False,True,False,False
47,17.272112901806345,0,2,131,13,9,1,True,False,False,True,True,False,False,False,False,True
26,19.416078735805648,0,3,135,77,25,0,False,False,False,False,False,False,False,False,False,False
36,19.3388255215677,0,4,56,21,30,1,False,False,False,False,True,False,False,False,False,False
39,1.7225809816138815,0,2,177,34,37,0,False,False,False,True,False,False,True,False,False,False
41,16.16768979311812,0,18,159,36,33,0,False,False,False,True,False,False,True,False,False,False
42,10.44812618560384,0,2,120,81,5,1,True,False,False,True,False,False,True,False,False,True
30,17.959834855223,0,14,117,40,19,0,True,True,False,False,False,False,False,True,False,False
29,22.56472310015379,0,12,161,1,22,0,True,True,False,False,False,False,True,False,False,True
17,10.311459919262395,0,4,82,1,7,0,False,False,False,True,False,False,True,False,True,False
21,4.898342485762538,0,12,118,71,26,0,True,False,False,True,False,False,False,True,False,True
35,14.5944246415276,0,18,177,59,18,0,True,False,False,True,False,False,True,False,False,False
23,3.2183650776686212,0,14,57,2,1,0,True,True,False,False,False,True,False,False,False,False
32,4.128575768252703,0,1,155,85,37,1,False,False,False,True,False,False,True,False,False,False
18,22.85867253938618,0,3,67,35,2,1,False,False,False,False,False,True,False,False,False,False
39,3.374945771843211,1,5,70,50,11,0,True,False,False,True,False,False,True,False,False,False
28,14.527638765802958,0,0,127,48,48,1,False,True,False,False,False,False,False,False,True,False
23,18.964324125931693,0,19,48,62,42,0,True,False,False,True,False,True,False,False,True,False
40,11.72896470228836,0,0,120,24,18,1,True,False,False,True,False,False,False,True,True,False
16,17.491258097283612,0,18,166,24,17,0,False,False,False,True,True,False,False,False,False,True
34,13.776451193864396,0,19,28,79,41,0,True,True,False,False,False,False,False,False,True,False
42,23.958349383365025,0,17,61,26,26,0,True,False,False,True,False,False,False,True,False,True
21,1.9080071501124571,0,11,112,14,0,0,False,True,False,False,False,False,False,False,False,True
22,5.5601059679590294,0,3,116,52,44,0,False,True,False,False,False,False,True,False,True,False
49,13.714087008439236,1,15,43,93,29,0,False,True,False,False,False,False,False,True,False,True
28,12.283925798967,0,4,151,76,35,0,True,False,True,False,True,False,False,False,False,True
31,2.244646562637268,0,15,68,88,39,0,True,False,False,True,False,False,False,False,False,True
18,13.153809578502678,0,12,115,98,7,0,True,False,True,False,True,False,False,False,False,True
16,2.61963355317819,0,14,149,10,34,0,False,True,False,False,False,False,False,False,False,False
20,16.58532904749496,0,19,65,34,46,0,True,False,False,False,True,False,False,False,False,True
18,15.65317440909562,0,17,176,45,43,0,True,False,False,True,True,False,False,False,False,False
43,1.5959787198659905,0,3,31,73,49,1,True,False,False,True,False,False,False,True,False,True
32,11.198056677031936,0,19,77,51,38,0,False,False,False,True,False,False,True,False,False,False
40,17.06770113669252,0,8,94,31,13,0,True,True,False,False,False,False,True,False,True,False
48,19.216494885917577,0,3,146,22,32,0,True,False,True,False,True,False,False,False,True,False
24,0.8741881074057289,0,8,45,19,21,0,True,False,False,True,False,False,True,False,False,True
28,11.216713856822746,0,8,134,64,25,0,True,True,False,False,False,True,False,False,False,False
45,23.70289731941193,1,1,50,95,26,1,True,True,False,False,False,True,False,False,False,False
29,9.210122598314191,1,15,171,6,16,0,True,True,False,False,True,False,False,False,False,False
22,12.818930926253454,1,8,46,8,0,0,False,False,False,True,True,False,False,False,False,False
28,7.181065650658029,0,8,139,20,1,0,True,False,False,True,False,True,False,False,False,False
37,1.3216351452681234,1,15,36,88,36,0,True,False,False,True,False,True,False,False,False,False
35,21.686274632514692,0,15,148,73,43,0,True,False,False,True,False,True,False,False,False,False
30,15.154138638867636,0,9,153,46,19,0,False,False,False,True,False,False,False,True,False,False
32,12.55512156935372,0,11,138,27,13,0,True,False,False,True,False,False,False,False,True,False
38,19.463563663701805,0,19,155,35,30,0,False,False,False,True,False,False,False,True,False,True
40,3.5296239780154055,0,2,94,76,42,0,False,True,False,False,False,True,False,False,False,False
39,20.855935292615897,0,16,140,10,16,0,True,False,True,False,False,False,False,False,True,False
43,14.627357000797517,0,1,16,38,43,1,True,False,True,False,False,False,True,False,False,False
29,17.00264693146226,1,16,135,80,43,0,False,False,False,True,False,True,False,False,False,False
15,14.896177519430692,0,6,49,58,42,0,False,False,False,True,False,True,False,False,False,False
39,19.752971845981367,0,7,46,26,47,0,False,False,True,False,False,False,True,False,False,True
21,19.025309404996168,0,13,30,3,40,0,False,True,False,False,False,False,False,False,False,False
23,13.724648498671089,1,17,167,72,24,0,True,False,True,False,False,True,False,False,False,True
38,20.16071100731581,0,13,79,29,32,0,False,True,False,False,False,False,False,False,False,False
15,18.85035866001133,0,7,111,45,2,0,True,False,False,False,False,False,False,True,False,True
22,12.082181787612544,1,7,79,46,32,0,True,True,False,False,True,False,False,False,False,False
38,2.2623788685222417,0,12,131,12,37,0,False,True,False,False,False,False,False,True,False,True
25,20.812949081354795,1,19,109,91,48,0,True,True,False,False,True,False,False,False,False,False
31,9.00911457935074,0,14,106,23,1,0,True,False,False,True,False,True,False,False,False,False
22,19.663555948593377,1,3,29,9,30,1,True,False,False,False,False,False,False,True,False,True
49,18.53536572246272,1,0,83,15,4,1,True,False,False,True,False,False,False,True,False,False
49,2.040757120839902,1,12,70,33,33,0,False,False,False,True,False,False,True,False,False,False
47,6.534987238893371,0,10,14,15,25,1,True,False,False,False,True,False,False,False,False,False
19,19.8608123586172,1,1,139,24,0,1,False,True,False,False,True,False,False,False,False,False
42,13.981026479981786,0,12,34,14,15,0,True,False,False,True,False,True,False,False,False,True
21,7.743327855210592,0,5,77,40,38,0,True,False,False,True,False,False,True,False,False,False
23,3.7993760618991423,1,12,41,73,10,0,True,False,False,True,False,False,True,False,False,False
22,10.391518408495156,0,19,102,14,24,0,True,False,False,True,True,False,False,False,False,False
26,15.07465364685181,0,4,117,4,49,0,True,False,False,True,False,False,True,False,False,True
48,8.45765169975634,1,3,122,89,24,0,False,False,False,False,False,False,False,False,False,False
47,14.432201516019694,0,18,14,78,4,1,True,True,False,False,False,True,False,False,True,False
37,19.501707922419776,0,11,147,40,49,0,True,False,False,True,False,False,False,True,False,True
38,6.496475465416331,1,8,107,11,7,0,True,True,False,False,True,False,False,False,False,True
49,2.1494952130714235,0,14,36,59,35,0,True,False,False,True,False,False,True,False,False,True
36,4.31332838120464,0,1,73,76,15,1,True,False,False,True,False,False,True,False,False,False
41,5.694275828168046,1,7,12,77,28,1,False,True,False,False,False,False,True,False,False,False
49,3.1093326260751075,0,0,99,80,42,1,True,False,False,False,False,True,False,False,False,False
15,9.744040836920972,1,4,32,33,42,1,True,False,False,False,False,False,False,True,True,False
49,7.838044518431901,0,19,126,3,14,0,True,True,False,False,False,False,True,False,False,False
28,9.208410715098555,1,1,84,61,39,1,True,False,False,True,False,False,False,True,False,True
17,8.644038308703859,0,3,117,1,11,0,True,True,False,False,False,False,False,True,False,False
15,5.970601392200956,0,11,55,54,37,0,False,True,False,False,False,True,False,False,False,False
19,15.377172223047586,0,14,93,65,42,0,False,False,False,True,False,False,True,False,True,False
40,5.80504022403155,0,5,40,89,29,0,True,True,False,False,False,False,True,False,False,True
28,22.350824629219,0,11,109,53,18,0,False,True,False,False,False,False,False,True,True,False
41,7.648375781283178,0,2,33,54,33,1,True,True,False,False,False,False,True,False,False,False
23,22.876692544657125,0,8,91,38,14,0,False,True,False,False,False,True,False,False,False,True
29,4.557998876469405,0,16,36,22,36,0,False,False,True,False,False,False,True,False,False,False
29,2.0673841286865047,1,15,101,73,45,0,True,True,False,False,False,False,True,False,False,False
40,7.383373195576563,0,15,24,56,17,0,True,False,False,False,False,False,True,False,False,False
27,7.733396192629242,0,17,72,45,48,0,True,False,True,False,False,True,False,False,True,False
46,19.40450332244644,1,9,127,75,32,0,True,False,False,False,False,False,False,True,False,True
46,18.55396821448505,0,12,96,2,21,0,True,False,True,False,False,False,False,True,False,False
18,4.456026910768445,0,16,121,10,35,0,False,False,False,False,False,False,True,False,False,False
44,22.14322250875968,0,7,60,5,30,0,True,False,False,True,False,True,False,False,True,False
37,8.499982200955518,0,18,145,88,15,0,True,False,False,True,False,False,True,False,False,True
29,23.694606600294044,0,3,51,72,44,1,False,False,False,True,False,True,False,False,False,True
43,23.165252611397225,0,14,96,42,47,0,False,False,False,True,False,True,False,False,False,False
27,6.549913698732847,0,18,111,34,9,0,True,False,False,True,False,False,False,True,True,False
46,10.825598338043754,0,12,142,24,18,0,False,False,False,False,False,False,False,False,False,True
21,20.277652343428393,1,17,142,12,20,0,False,False,False,True,False,False,False,False,False,False
36,7.245611011215005,0,3,69,52,14,1,True,False,False,False,True,False,False,False,False,False
42,10.776915901085236,0,7,154,23,19,0,True,False,True,False,True,False,False,False,False,True
16,4.622791147216765,1,17,149,48,14,0,False,False,False,True,False,False,False,False,False,False
20,11.929378551497177,0,11,75,69,25,0,False,False,False,True,False,False,False,True,False,True
42,6.566794339859006,0,15,17,19,43,1,True,False,False,False,True,False,False,False,True,False
42,2.7313181997200733,0,17,62,77,35,0,True,False,False,True,False,False,False,False,False,True
34,16.591687482718527,0,13,124,35,43,0,False,False,False,True,False,False,False,True,False,True
44,8.583797272700018,0,11,34,8,11,0,False,False,False,True,True,False,False,False,False,True
25,12.763140085923611,0,7,108,76,1,0,False,False,False,True,True,False,False,False,False,True
42,13.297752190463775,0,19,157,85,7,0,False,False,False,False,False,False,False,False,False,False
39,14.173755660725837,0,15,108,49,32,0,False,True,False,False,True,False,False,False,False,False
47,18.49464367093109,0,2,65,92,45,0,False,False,False,True,False,False,False,True,False,False
15,17.223879815467022,1,5,94,76,14,0,False,True,False,False,False,False,False,False,True,False
41,18.224655455153925,0,1,70,5,43,1,False,False,False,True,False,False,False,True,False,True
27,19.48783440802375,0,16,154,13,27,0,True,False,False,True,True,False,False,False,False,True
17,9.483212067452136,0,7,78,54,36,0,False,True,False,False,False,False,False,True,False,True
20,19.047461153319887,0,18,14,49,5,1,True,True,False,False,False,False,True,False,False,False
22,8.612156614530551,1,13,21,58,19,1,True,False,False,True,False,True,False,False,True,False
41,9.987578341053728,0,1,124,15,24,1,True,False,False,False,True,False,False,False,False,False
23,21.656382595501174,0,7,45,45,42,0,True,False,False,False,False,False,True,False,False,False
47,16.209307153657114,0,6,62,96,40,0,True,False,True,False,False,True,False,False,False,True
